name,services,address,organization,phones,schedule
AES Inc.,AES Inc.,2530 Meridian St.,AES Inc.,,receLl08E8AhBvIL3
Al Boe Wheelchair Warehouse,Al Boe Wheelchair Warehouse,4137 Bennett Dr.,,,rech31beKPYAYuiUR
Alternative Humane Society,,PO Box 2321,,,
Alzheimer Society of Washington Support Center,,1301 Fraser St. ,Dementia Support Northwest,,
American Red Cross Northwest Region,,1900 25th Ave. S.,American Red Cross Northwest Region,,
AMH Administrative Office,Counseling Services - Associates in Mental Health,,Associates in Mental Health,,
Animals as Natural Therapy ,,PO Box 31595,Animals as Natural Therapy,,
Arne Hanna Aquatic Center,"Arne Hanna Aquatic Center,Free Shower Program",1114 Potter Ave.,,,"recdZUPuxuz6xmiJd,recEqeQKqUNyMOXLd"
Art Bergh Recovery Residence,Sober Living Program - Contact Counseling,6395 Portal Way ,,,
Arthritis Foundation,,1329 N. State St. ,,,
Assistance League of Bellingham,,2817 Meridian St. ,Assistance League of Bellingham,(360) 738-2803,reczIfegrLW9Bx4uf
Assumption Catholic Church,Bellingham Community Meal ,2116 Cornwall Ave.,Bellingham Community Meal,,
Attorney General of Washington Bellingham Office,Attorney General of Washington,2211 Rimland Dr.,Attorney General of Washington,,
Base Camp,Base Camp,1530 Cornwall Ave.,Lighthouse Mission Ministries,,recsl5ODeTw2UTz36
Bellingham Boys and Girls Club,Boys and Girls Club Clubhouses,1715 Kentucky Street,,(360) 527-9777,"recyHOuo1ZFhyQz2g,recvh9IwxO401exEv"
Bellingham Childcare and Learning Center,Bellingham Childcare and Learning Center ,2600 Squalicum Pkwy.,Bellingham Childcare and Learning Center,,
Bellingham City Hall,Home Rehabilitation Loan Program,210 Lottie St.,City of Bellingham,,
Bellingham Community Services Office (DSHS),"Basic Food (SNAP),Housing and Essential Needs (HEN),""Aged, Blind, or Disabled Program (ABD)"",Temporary Assistance for Needy Families (TANF),Pregnant Woman Assistance Program,Refugee Cash Assistance,Division of Child Support,Division of Vocational Rehabilitation (DVR),Community Health and Supportive Services (Answers Counseling),Maternity Support Services and Infant Case Management (Answers Counseling),Mental Health Counseling and Training (Answers Counseling)",4101 Meridian St.,"DSHS (Washington State Department of Social and Health Services),Answers Counseling",(877) 501-2233,recf9E44tWghPDTLV
Bellingham DCFS Office,Child Protective Services,1720 Ellis St.,,(360) 594-6700,recLMhAe0rX5G3tkd
Bellingham Food Bank,Bellingham Food Bank,1824 Ellis St.,Bellingham Food Bank,,recJPjCAobdcEGTbZ
Bellingham Health Center - Planned Parenthood,Bellingham Health Center - Planned Parenthood,1530 Ellis St.,Mount Baker Planned Parenthood ,1-877-714-1149,"recMnHDaeTiP6gEjx,recO2visZgCbOBrBe"
Bellingham Parks and Recreation,"Bellingham Playbook,Bellingham Parks and Recreation",210 Lottie St.,,,recnYE79cjiqriMxJ
Bellingham Public Library Barkley Branch,"Computers and Technology Access - BPL,WiFi Hotspot Lending - BPL,Meeting Rooms - BPL ,Library Cards - BPL",3111 Newmarket St.,Bellingham Public Library,(360) 778-7290,"recPR04KloQmTmCXm,recEqpeLj7AfFxoAz"
Bellingham Public Library Central Branch,"CAST,Computers and Technology Access - BPL,Tech Help - BPL,WiFi Hotspot Lending - BPL,Meeting Rooms - BPL ,Nonprofit Resources - BPL,Street Law Clinic,Library Cards - BPL",210 Central Ave.,Bellingham Public Library,(360) 778-7323,"recCmTOXjgUNUVXfq,recpyWw7G5fMLyqK1,reckkIMkxzRSfvJqi"
Bellingham Public Library Fairhaven Branch,"Computers and Technology Access - BPL,WiFi Hotspot Lending - BPL,Meeting Rooms - BPL ,Library Cards - BPL",1117 12th St.,Bellingham Public Library,(360) 778-7188,"recPR04KloQmTmCXm,recEqpeLj7AfFxoAz"
Bellingham Senior Activity Center,Bellingham Senior Activity Center,315 Halleck St.,"Bellingham Senior Activity Center,Meals on Wheels and More",,recuJlDENwsKUUkVu
Bellingham Technical College,"BTC Childbirth and Parenting Education,BTC Dental Services,BTC Automotive Program",3028 Lindbergh Ave.,Bellingham Technical College,,
Bellingham Vet Center,,3800 Byron Ave.,Bellingham Vet Center,,"recqvrn2M5wGVvmhA,recoBiDHXQNIHgFuP,recx2WbhnMcGBIztZ"
Bellingham Whatcom County Housing Authority,,208 Unity St.,Bellingham and Whatcom County Housing Authorities,,
Ben's Fund PO Box,Ben's Fund,PO Box 1317,,,
Big Brothers Big Sisters of Island County,,913 E Whidbey Ave.,,,
Birchwood Timberlake House,,2624 Birchwood Ave.,,,
Blaine Boys and Girls Club,Boys and Girls Club Clubhouses,635 8th Street,,(360) 332-3008,rectuYWyxRQR1AVGk
Blaine Clothing Bank,,502 C St.,,,
Blaine Food Bank,Blaine Food Bank,500 C St.,Blaine Food Bank,,"recIScyM1vWpwcElV,recKSc0Gza5q1tnpH"
Blaine Library,"WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Library Cards",610 3rd St.,Whatcom County Library System,(360) 305-3637,"recBPXTxjwtaZ8df5,rec5PkuiIHUNuo2sL,recPirmc69N1z4YQM"
Blaine Middle School,,975 H St.,,,
Blaine School District,Blaine Family Service Center,765 H St.,,,
Blue Skies for Children,"Our Little Wishes Enrichment Program,Our One-Time Little Wishes Program,Our Little Wishes Instrument Loaner Program,Blue Skies Shoe Distribution Program,Blue Skies Back to School Backpack Distribution Program,Blue Skies Winter Warm-Up Distribution Program,Foster Grads Program,Swim to Live Program",2505 Cedarwood Ave.,Blue Skies for Children,,recedKYCrL3ra0Vj8
Boys and Girls Club of Oak Harbor,,98 NE Barron Dr.,,,
Brigid Collins Family Support Center,"Parent Child Assistance Program,Parent Child Interaction Therapy,Parenting Education - Brigid Collins,Stewards of Children",1231 N. Garden St.,Brigid Collins Family Support Center,,
CADA,,275 SE Pioneer Way ,,,
Canada,,,,,
Cascade Connections,,1611 North State St.,,,
Cascade Connections Bellingham Office,Cascade Connections Vocational Services,4350 Cordata Pkwy.,Cascade Connections,,
Cascade Connections Main Office,"Cascade Connections Home Care,Cascade Connections Supported Living,Cascade Connections Training Center",1354 Pacific Pl.,Cascade Connections,(360) 714-9355,
Cascade Job Corps and Career Academy,,1950 Northern State Rd.,,,
Cascade Natural Gas,,1600 Iowa St.,,,
Catholic Community Services,,1133 Railroad Ave.,Catholic Community Services and Catholic Housing Services,,
Catholic Housing Services,,110 E. Chestnut St.,,,
Catholic Long Term and Home Care,,1742 Iowa St.,,,
CCS Recovery Center,CCS Recovery Center,515 Lakeway Dr.,,(360) 676-2187,
Christ the King Community Church Bellingham,"Bellingham Food Bank,Kids in Motion Physical Therapy ,Kids in Motion Occupational Therapy,Kids in Motion Speech Therapy",4173 Meridian St. ,"Kids in Motion Therapy Clinic,Bellingham Food Bank",,recfBZSi7QTUNiw5T
Church of the Assumption- Bellingham,,,PREPARES,,
City Gate Apartments,,607 E. Holly St.,,,
Clarity Mental Health and Recovery,"Substance Use Disorder Counseling - Clarity MHR,Mental Health Counseling - Clarity MHR,Court Approved Evaluations - Clarity MHR,Alcohol and Drug Information School (ADIS),Mindfullness Skills Training,Domestic Violence Intervention Treatment (DVIT),Psych Med Management - Clarity MHR",1155 N. State St.,Clarity Mental Health and Recovery,(360) 676-4485,recImRtWnTAQ7T0Pc
ClearPoint Credit Counseling Solutions,,9725 3rd Ave. NE ,Clearpoint Credit Counseling Solutions ,,
Commerce/Manufactured and Mobile Home Relocation ,Office of Manufactured/Mobile Home Relocation Assistance ,PO Box 42525 ,,,
