name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,x-website rating,x-status_last_modified,id
A Watered Garden Family Learning Center,,Vetted,A Watered Garden re-vet,Whatcom County,(360) 393-9352,https://awateredgardenflc.weebly.com,"A non-profit faith based organization dedicated to offering educational and personal growth opportunities. Individuals and families build capacity to move from poverty to prosperity in their home and community through communication, cooperation, and collaboration.","ESL/ELL Classes - A Watered Garden,Conversational Spanish Classes - A Watered Garden,GED Class - A Watered Garden,U.S. Citizenship Class - A Watered Garden,Making SMILIES Learning Pathways Class,Basic Computer Skills - A Watered Garden,Community Garden - A Watered Garden,Nutrition Classes - A Watered Garden",awateredgardenflc@comcast.net,Everson Seventh Day Adventist Community Services Center,5,2022-5-25 9:53am,recf9bIzdIlQmqDHY
AES Inc.,An Employment Solution Inc. ,Vetted,"AES,AES re-vet",Whatcom County,(360) 734-8860,https://anemploymentsource.com,"Help finding temporary or long term work. Skill assessment and job-matching tools lead to job opportunities that match applicants' abilities and interests, and higher degrees of success and job satisfaction.",AES Inc.,,AES Inc.,5,2022-10-20 4:52pm,recSJmvFKHD18l8SJ
Alternative Humane Society,,Vetted,"Alternative Humane Society,Alt. Humane Society re-vet",Whatcom County,(360) 671-7445,http://alternativehumanesociety.com/,"An all-volunteer, nonprofit animal welfare organization serving Whatcom County.",Spay and Neuter Assistance - AHS,"alternativehumanesociety@gmail.com
",,3,2022-10-13 12:42pm,recxzG8qhOssPvkW3
Animals as Natural Therapy,,Vetted,"Animals as Natural Therapy ,ANT re-vet",Whatcom County,(360) 671-3509,www.animalsasnaturaltherapy.org/,Improving mental and behavioral health through animal-guided programs and mentorship with special attention to youth and veterans in Northwest Washington.,"Youth After-School Program - ANT,Summer Day Camp - ANT,Horsemanship for Veterans ,Mobile Animals as Natural Therapy",program@animalsasnaturaltherapy.org,Animals as Natural Therapy ,5,2022-9-27 6:18pm,recMCsRhqPFdfHAN6
Answers Counseling,,Vetted,"Answers Counseling,Answers Counseling re-vet",Whatcom County,(360) 255-7855,http://www.AnswersCounseling.org/,"Counseling, consulting, and case management services for individuals and families.","Mental Health Counseling and Training (Answers Counseling),Maternity Support Services and Infant Case Management (Answers Counseling),Community Health and Supportive Services (Answers Counseling)",,Bellingham Community Services Office (DSHS),4,2022-5-25 9:31am,reckfdvBCoL55ElX8
Assistance League of Bellingham,,Vetted,"Assistance League of Bellingham,Assistance League re-vet",Whatcom County,(360) 738-2803,https://www.assistanceleague.org/bellingham/,An all-volunteer nonprofit organization transforming lives and strengthening community through philanthropic programs within Whatcom County.,"Operation School Bell,Enrichment Scholarship Program,Eating Healthy Program",contact@albham.org,Assistance League of Bellingham,5,2022-11-3 2:23pm,recn2NZelPB4vXR9r
Associates in Mental Health,,Vetted,Associates in Mental Health,Whatcom County,(360) 715-2488,http://amhinfo.com/,"Mental health counseling provider consists of independently practicing Licensed Psychologists, Licensed Mental Health Counselors, Licensed Marriage and Family Therapists, and Licensed Clinical Social Workers.",Counseling Services - Associates in Mental Health,,AMH Administrative Office,5,2022-11-16 4:33pm,recMBu2hoj22fE3UR
Bayside Therapy Associates ,,Vetted,Bayside Therapy Associates,Whatcom County,(360) 734-7310,https://www.baysidetherapy.com/,"Provides therapy to individual adults, children and adolescents, as well as to couples, families and groups.",Bayside Therapy Counseling,,,2,2022-11-16 4:13pm,recjCgphffVaaLXlu
Bellingham and Whatcom County Housing Authorities,BWCHA,Vetted,"BWCHA,BWCHA re-vet",Whatcom County,(360) 676-6887,http://www.bellinghamhousing.org/,"A local government agency that provides housing in Whatcom County. Programs serve low-income residents, seniors, people with disabilities, and working families in need of affordable housing.","Housing Choice Voucher Program,Subsidized Housing Programs - BHA,Affordable Housing Programs - BHA,Other Rental Housing Programs - BHA",Info@BellinghamHousing.org,Bellingham Whatcom County Housing Authority,5,2022-10-4 1:28pm,recIWjeqOP31aZ8g0
Bellingham Central Lions Club,,Vetted,"Lions Club,Lions Club re-vet",Whatcom County,(360) 392-8198,https://www.bellinghamcentrallions.org,"Volunteer organization providing financial assistance to the local community, particularly related to sight and hearing.","Frank Haskell Eye Clinic,Al Boe Wheelchair Warehouse,Lions Foundation Hearing Program",info@bellinghamcentrallions.org,,5,2022-9-19 6:22pm,rec3OYZxZ2q2GrfFe
Bellingham Childcare and Learning Center,,Vetted,"Bellingham Childcare and Learning Center ,Bellingham Childcare and Learning Center re-vet",Whatcom County,(360) 676-0950,www.bellinghamchildcare.com/,"Provides high quality, affordable childcare to families of all income levels, assisting low-income families to become self-sufficient. ",Bellingham Childcare and Learning Center ,Info@bellinghamchildcare.com,Bellingham Childcare and Learning Center,5,2022-10-26 5:28pm,recgaE1UifvpGazoA
Bellingham Community Meal,,Vetted,"Bellingham Community Meal,BCM re-vet",Whatcom County,(360) 647-5114,https://bellinghamcommunitymeal.square.site,"Provides a hearty meal for the community the last Saturday of the month, January through October.",Bellingham Community Meal ,volunteerbcmp@gmail.com,Assumption Catholic Church,4,2022-3-31 4:27pm,recBK5WKpMDUGZKgg
Bellingham Food Bank,,Vetted,Bellingham Food Bank,Whatcom County,(360) 676-0392,http://www.bellinghamfoodbank.org/,Provides free groceries to anyone in Bellingham. Up to two visits per week allowed per household. Pick up for up to two households per visit.,Bellingham Food Bank,"info@bellinghamfoodbank.org
","Bellingham Food Bank,Christ the King Community Church Bellingham",,2022-12-8 9:23am,rec47JDzJHPJqdaTK
Bellingham Insight Meditation Society,,Vetted,Bellingham Insight Meditation Society,Whatcom County,,https://www.bellinghaminsight.org/,Supports meditation and practice in the Buddhist Theravada tradition.,Sangha Mamas,,,4,2023-1-3 12:04pm,receL7NzsAXQrTqxs
Bellingham Public Library,,Vetted,"Bellingham Public Library,BPL re-vet",Whatcom County,(360) 778-7323,http://www.bellinghampubliclibrary.org/,"Serves the residents of Bellingham and Whatcom County with branches in Central Bellingham, Fairhaven, and Barkley.","Tech Help - BPL,Computers and Technology Access - BPL,WiFi Hotspot Lending - BPL,Meeting Rooms - BPL ,Free Museum Passes - BPL ,Outreach Services - BPL ,Nonprofit Resources - BPL,Teacher Resources - BPL,Learning Resources - BPL,Research Tools - BPL,BPL Calendar,Library Cards - BPL",,"Bellingham Public Library Central Branch,Bellingham Public Library Fairhaven Branch,Bellingham Public Library Barkley Branch",5,2022-6-28 11:49am,rec3BnhDmf5l0gTOq
Bellingham Public Schools,,Vetted,BPS re-vet,Whatcom County,,https://bellinghamschools.org,"Public school district for Bellingham, WA.","Bellingham Family Resource Centers,McKinney-Vento Program - BPS,Promise Kindergarten,Child Find Preschool Screenings - BPS,Developmental Preschool - BPS,GRADS,Title I Preschool - BPS",,,5,2022-3-23 10:36am,recva3C91zuN7oBRp
Bellingham Senior Activity Center,,Vetted,"Bellingham Senior Center,BSAC re-vet",Whatcom County,(360) 733-4030,https://whatcomcoa.org/bellingham-senior-activity-center/,"A 1,600+ member senior center in Bellingham. Whether you’re interested in art, health & wellness, computer skills, current events, dancing or socializing with friends, you’ll find a wealth of fun-filled activities to educate, stimulate and entertain you at the Center. Membership is open to anyone age 50and over.","Bellingham Senior Activity Center,Senior Community Meals - Bellingham",,Bellingham Senior Activity Center,5,2022-10-20 4:05pm,recOTKr5ctbTisCBM
Bellingham Technical College,BTC,Vetted,"BTC,BTC re-vet",Whatcom County,(360) 752-7000,www.btc.edu,"A leading educational institution, and the only technical college in northwest Washington State. BTC offers skills-focused education in a supportive, student-first environment.","BTC Childbirth and Parenting Education,BTC Dental Services,BTC Automotive Program",btc@btc.edu,Bellingham Technical College,5,2022-9-28 5:20pm,recw1nzXDLVHFdNFr
Bellingham Vet Center,,Vetted,"Bellingham Vet Center,Vet Center re-vet",Whatcom County,"(877) 927-8387,(360) 733-9226",http://www.va.gov/directory/guide/facility.asp?ID=5104,"Confidential help for Veterans, service members, and their families at no cost in a non-medical setting. Services include counseling for needs such as depression, post traumatic stress disorder (PTSD), and the psychological effects of military sexual trauma (MST). ",Bellingham Vet Center,,Bellingham Vet Center,5,2022-10-20 4:21pm,recmAatEaH5NUOV4G
Ben's Fund,,Vetted,"Ben's Fund,Ben's Fund re-vet",Whatcom County,(206) 957-7708 ext. 188,www.bensfund.org/,Provides financial support and guidance to  children and young adults  in the state of Washington who have autism.  ,Ben's Fund,info@bensfund.org,,5,2022-9-20 6:37pm,recaijhznVg8a7NI2
Blaine Community Assistance Program,Blaine CAP,Vetted,"Blaine CAP,Blaine CAP re-vet",Whatcom County,(360) 392-8484,https://blainecap.org/,"Serves the people of the Blaine, Birch Bay, Custer, and Point Roberts communities who are in need of assistance to meet their basic requirements for food, clothing, and other necessities of daily life.","CAP Crisis Assistance,Blaine Clothing Bank,Blaine and Birch Bay Community Toy Store,CAP Winter Coat Drive,The Food Connection,CAP Thanksgiving Baskets,CAP Chaplain Ministry",info@blainecap.org,The CAP Center,5,2022-4-11 4:53pm,recbfO4jLyfUYxCSg
Blaine Food Bank,,Vetted,Blaine Food Bank re-vet,Whatcom County,(360) 332-6350,www.blainefoodbank.org,"Provides food to Blaine, Custer, Birch Bay, and Semiahmoo residents. Households can visit up to twice per week.","Blaine Food Bank,Blaine Food Bank Home Delivery Program,Blaine Food Bank Weekend Backpack Program",blainefood@hotmail.com,Blaine Food Bank,5,2022-3-23 11:44am,rec5T1hKkiBje5h2Q
Blaine School District,,Vetted,BSD re-vet,Whatcom County,,https://www.blainesd.org,"Public school district for Blaine, Birch Bay, and Point Roberts, WA.","Blaine Family Service Center,McKinney-Vento Program - BSD ,Blaine Primary Developmental Preschool ,Child Find Screenings (BSD)",,,5,2022-3-23 10:50am,recp09jab3h0PRCrL
Blue Skies for Children,,Vetted,"Blue Skies,Blue Skies re-vet",Whatcom County,(360) 756-6710,http://www.blueskiesforchildren.org/,"Sponsors enrichment programs and other essentials for homeless, low-income and foster children in Whatcom and Skagit Counties.","Our Little Wishes Enrichment Program,Our One-Time Little Wishes Program,Our Little Wishes Instrument Loaner Program,Blue Skies Shoe Distribution Program,Blue Skies Back to School Backpack Distribution Program,Blue Skies Winter Warm-Up Distribution Program,Foster Grads Program,Blue Skies Driver's Education Scholarship   ,Swim to Live Program",,Blue Skies for Children,5,2022-5-19 1:06pm,recoI6XwPMw28qdd4
Boys and Girls Clubs of Whatcom County,,Vetted,"Boys and Girls Clubs of Whatcom County,Boys and Girls Club re-vet",Whatcom County,(360) 738-3808,www.whatcomclubs.org/,"Before and after school ""clubhouse"" programs impact kids positively through academic success, good citizenship, healthy lifestyles, and athletic programs. Clubhouses are located across Whatcom County in in Bellingham, Ferndale, Lynden and Blaine.  ",Boys and Girls Club Clubhouses,,,5,2022-10-7 11:18am,receOMON0UALMps8l
Brigid Collins Family Support Center,,Vetted,"Brigid Collins,Brigid Collins re-vet",Whatcom County,(360) 734-4616,http://www.brigidcollins.org/,"A commitment-based organization dedicated to protecting children, building strong families, and ending child abuse. ","Parent Child Assistance Program,Familia Latina,Parent Child Interaction Therapy,Parenting Education - Brigid Collins,Stewards of Children",,Brigid Collins Family Support Center,5,2022-5-9 5:28pm,recNArHkSejatB7aA
Cascade Connections,,Vetted,"Cascade Connections,Cascade Connections re-vet",Whatcom County,(360) 714-9355,https://cascadeconnections.org,"A non-profit agency serving people with disabilities through specially designed programs, including supported living, group training home, home care, training, and vocational services.","Cascade Christian Home,Cascade Connections Home Care,Cascade Connections Supported Living,Cascade Connections Training Center,Cascade Connections Vocational Services",,"Cascade Connections Main Office,Cascade Connections Bellingham Office",5,2022-9-21 6:27pm,recNQqK2iCz3elhMz
Catholic Community Services and Catholic Housing Services,CCS,Vetted,"CCS,CCS re-vet",Whatcom County,(360) 676-2164,http://www.ccsww.org/,"Human service outreach arms of the Catholic Church in Western Washington committed to serving individuals, children, families and communities struggling with poverty and the effects of intolerance and racism, and to actively joining with others to work for justice. Serves people in need, regardless of religious affiliation, race or economic status.","Catholic Housing Services,CCS Children's Mental Health,Pregnancy and Parenting Support - PREPARES,Wraparound with Intensive Services (WISe),CCS Home Care,CCS Recovery Center",Info@ccsww.org,Catholic Community Services,5,2022-10-4 5:21pm,reciYk1aR2QU74CdE
City of Bellingham,COB,Vetted,"Bellingham Parks and Recreation,City of Bellingham,COB re-vet",Whatcom County,(360) 778-7000,http://www.cob.org,"Local government for Bellingham, WA.","Arne Hanna Aquatic Center,Free Shower Program,Bellingham Playbook,City of Bellingham Community Garden Program,Bellingham Parks and Recreation,Home Rehabilitation Loan Program",info@cob.org,Bellingham City Hall,5,2022-10-5 2:26pm,rec68UXj6umn1aDXc
Clarity Mental Health and Recovery,Belair Clinic,Vetted,"Belair Clinic,Clarity MHR re-vet",Whatcom County,(360) 676-4485,https://www.claritymhr.com,"Person-centered counseling for addiction, recovery, and mental health. (Formerly Belair Clinic)","Substance Use Disorder Counseling - Clarity MHR,Mental Health Counseling - Clarity MHR,Court Approved Evaluations - Clarity MHR,Alcohol and Drug Information School (ADIS),Mindfullness Skills Training,Domestic Violence Intervention Treatment (DVIT),Psych Med Management - Clarity MHR",info@claritymhr.com,Clarity Mental Health and Recovery,5,2022-10-18 6:11pm,recFEWIhFsd4KrZfz
Compass Health,,Vetted,"Compass Health,Compass re-vet",Whatcom County,(800) 457-9303,https://www.compasshealth.org/,"Behavioral healthcare center that serves people of all ages, and offers comprehensive mental health treatment, crisis prevention and intervention, supportive housing, children’s services, community education and more.","Compass Health Child Advocacy Program,Compass Health Child and Family Outpatient Services,Compass Health Children’s Intensive Outpatient Treatment ,Compass Health Adult Intensive Outpatient Program (IOP),Compass Health Adult Outpatient Services,Crisis Triage and Stabilization,Mobile Crisis Outreach Team (MCOT),Involuntary Treatment Act Services,Compass Health Payeeship and Finance Management Services,Community Outreach and Recovery Support Team (CORS)",,"Compass Health Whatcom WISe Office,Compass Health,Whatcom County Triage Center",5,2022-9-29 2:16pm,recLvJRjWVPeg54aY
Contact Counseling Recovery Services,,Vetted,"Art Bergh Recovery Residence,Helen's House,Contact Counseling",Whatcom County,(360) 671-3277,https://www.contactcounseling.com,"Provides drug and alcohol counseling, assessments, consultation, intervention services, referral to inpatient treatment, sober living and outpatient treatment to both youth and adults.","Sober Living Program - Contact Counseling,Drug and Alcohol Assessments - Contact Counseling,Drug and Alcohol Counseling - Contact Counseling,Intervention Services - Contact Counseling",info@contactcounseling.com,Contact Counseling Recovery Services,5,2022-10-18 5:39pm,recneSbrfV842KTWc
Domestic Violence and Sexual Assault Services (DVSAS),DVSAS,Vetted,DVSAS re-vet,Whatcom County,(360) 715-1563,http://www.dvsas.org/,"Supports individuals affected by domestic violence, sexual assault, and sexual exploitation, and provides community education. All services are free and confidential.","Ask an Advocate at DVSAS,Legal Assistance at DVSAS,DVSAS 24-Hour Helpline,DVSAS Advocacy Counseling,DVSAS Support Groups,DVSAS Safe Housing Program,DVSAS Professional Trainings",,DVSAS,5,2022-8-24 10:42am,recQoHGS6iV9TYdV2
Dominic's Closet,,Vetted,"Dominic's Closet,Dominic's Closet re-vet",Whatcom County,,https://www.facebook.com/dominics.closet.nonprofit,A non-profit charity to help get medical supplies to those in need.,Dominic's Closet,dominics.closet.nonprofit@gmail.com,,4,2022-9-21 5:26pm,recBfTO9VIyIMZZ0U
Evergreen Supported Living ,,Vetted,"Evergreen Supported Living,Evergreen SL re-vet",Whatcom County,(360) 671-5898,http://evergreenhome.org/,Non-profit organization that offers support services to adults with developmental disabilities.,Evergreen Supported Living,,Evergreen Supported Living,2,2022-10-20 5:07pm,recbyXjPGz4lHaj5t
Everson Senior Center ,,Vetted,"Everson Senior Center,Everson Senior Center re-vet",Whatcom County,(360) 966-3144,https://www.whatcomcounty.us/2936/Everson,"Community center for seniors 50+ years of age to come together on Monday mornings to enjoy good company and activities. Activities may include Wii bowling, puzzles, pool, cards, and conversation.","Everson Senior Center,Senior Community Meals - Everson",,Everson Senior Center,4,2022-10-26 1:45pm,recIbTjX4DUr4oZN0
Express Employment Professionals ,,Vetted,Express,Whatcom County,(360) 734-2457,https://www.expresspros.com/bellingham/,"Works with job seekers to help them find the right job for their skills and experience. A variety of jobs are available, including full-time, part-time, and temporary positions.",Express Employment Professionals,,Express Employment Professionals,5,2022-12-8 12:26pm,recdW5skK7LcQE1yw
FACES Northwest,"Families for Autism Care, Education, and Support",Vetted,"FACES NW,FACES re-vet",Whatcom County,(360) 389-2151,http://facesnorthwest.com/wp/,Therapeutic recreational day camp for children and young adults with autism.,FACES Northwest Summer Program,facesassistant@gmail.com,,5,2022-9-26 2:24pm,recEamwWyq8xEFYb9
Ferndale Community Services,,Vetted,"Ferndale Community Services,Ferndale CS re-vet",Whatcom County,(360) 380-2200,http://www.ferndalecsc.org ,A nonprofit organization whose mission is to understand and alleviate unmet needs by providing resources and connection. ,"Family Funds Program,Ferndale Community Utilities Fund,Ferndale Severe Weather Shelter,Ferndale Holiday Giving Store,Ferndale Other Bank,Ferndale Resource Center,Friendship Community Garden",info@ferndalecs.org,Ferndale Resource Center,5,2022-4-11 5:41pm,recizcFkyPmYpAqT7
Ferndale Food Bank ,,Vetted,Ferndale Food Bank re-vet,Whatcom County,(360) 384-1506,http://ferndalefoodbank.org,Provides food and support to all community members in need. Individuals and families can visit once a week for as long as assistance is needed.,Ferndale Food Bank,director@ferndalefoodbank.org,Ferndale Food Bank,5,2022-3-23 11:47am,recZyPOoMlF94pdqH
Ferndale School District,,Vetted,FSD re-vet,Whatcom County,,https://www.ferndalesd.org,"Public school district for Ferndale, WA.","Ferndale Student Services,Ferndale Jump Start Kindergarten,McKinney-Vento Program - FSD,Child Find Screenings - FSD,Developmental Preschool - FSD",,,4,2022-3-23 11:05am,recVLAFl8FDBrUiR3
Ferndale Senior Center,,Vetted,"Ferndale Senior Center,Ferndale Senior Center re-vet",Whatcom County,(360) 384-6244,https://www.ferndaleseniorcenter.org,"Provides affordable educational, nutritional, social and recreational programs for Ferndale senior citizens. ","Ferndale Senior Center,Senior Community Meals - Ferndale",,Ferndale Senior Center,4,2022-10-26 1:56pm,recTdsHqYxC5B9MWb
