,name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,x-website rating,x-status_last_modified,id
0,Southside Food Bank,,Vetted,['recoHtQpetkTOb6Kw'],Whatcom County,['rechvP2PC1aHojHEn'],https://www.hcbellingham.com/southside-food-bank/,Provides food to anyone in need. Open the first and third Thursday of each month.,['recu2qziAeZQPFCVW'],,['reclCNPpkBjDyo8AL'],5.0,2022-03-23T18:00:12.000Z,rec0dVVStUep4zXvf
1,Northwest Therapeutic Riding Center,,Vetted,"['reczrlbuF0mJoHZEe', 'recohNBt685HHGDPx']",Whatcom County,['recPfzh47h68FBi5R'],www.nwtrc.org,"Provides high quality, safe and fun adaptive horsemanship and riding lessons. Participants range in age from 4-74 and include individuals with physical, cognitive, emotional, behavioral and sensory disabilities. ",['reczOIBcvt2lKdC7C'],nwtrc@premier1.net ,['recXAxDIVmf1kRtNT'],4.0,2022-09-20T20:18:22.000Z,rec1FfYg3cqbowgNu
2,"DCYF (Washington State Department of Children, Youth, and Families)",CPS,Vetted,"['recDzf3OHUkliY7P5', 'recdjia0FE7xUYH5R']",Washington State,,https://www.dcyf.wa.gov,"The lead agency for state-funded services that support children and families to build resilience and health, and to improve educational outcomes. ","['recGINFQMaTXjVypc', 'recjUGIj3zu8LvLFu', 'recvAgA381mLJ4KGy', 'recuUmMdVqjwmOGoN', 'recmWq2t97Fm3weaz', 'recPQClnkFd9e4vqJ']",,,5.0,2022-03-31T16:32:09.000Z,rec1OvXuzV7MUMLLW
3,Nooksack Food Bank ,,Vetted,['rec8k8zQmI2bEzBrG'],Whatcom County,['reclNRq1BX4a0jFAL'],,Provides food to anyone in need on the first Friday of each month. Located behind the Social Services building.,['recRAGGvXneGryk0Y'],,['recxPFp7YcjP0aEK2'],3.0,2022-03-23T17:58:30.000Z,rec1iIEBZ5TSZl32s
4,Trevor Project,,Vetted,['rec4xO6LfXGMZGDfe'],National,"['rec6jt5Nri7TvHRsp', 'rec66b5mKnPfgYhPr', 'recoWbht2ZjN6OyEb']",https://www.thetrevorproject.org/,Suicide prevention and mental health organization for LGBTQ young people.,"['recbCEN8AQqNzqvD8', 'recC45c6ARcKzsK0x', 'recGUxpE74CbNu1BG']",info@thetrevorproject.org,,5.0,2022-11-16T22:35:16.000Z,rec282lP1JZMUo7Vo
5,Max Higbee Center,,Vetted,"['recXuoMHp4IbrYGbd', 'recebf6c7bYpgkoAW']",Whatcom County,['recJHfBIyRuXM2TZ5'],http://www.maxhigbee.org/,"Supports and empowers teens and adults with developmental disabilities 
to build community, friendships, happiness, life skills and health through recreation.","['recEll2UppRohvL1N', 'rec8R0aRVn1FGkC1Y', 'recdt5eSE7ydEZIS2', 'recMGqh5Cid6lmFgw', 'recb1Z98X0xxrOHIm', 'recJPMQvpmC3eecGP']","admin@maxhigbeecenter.org
",['recpy9lamzYKVNGYC'],5.0,2022-09-19T18:45:51.000Z,rec2bDOEa8kwKahM2
6,Washington Homeownership Resource Center,,Vetted,['recal9HBK9UXphHlI'],Washington State,['recrCnKwiZmDy30GH'],http://www.homeownership-wa.org/,"Personalized information and referral to vetted homeownership supports, including: homebuyer assistance programs, pre-purchase education and counseling, mortgage and property tax foreclosure intervention counseling, reverse mortgage counseling, owner-occupied repair assistance, other post-purchase education and assistance, legal aid, and credit counseling.","['recnOtS8qpduDCmEl', 'recjf5XYMV3z6o7Kf', 'recliGTQWvkUDAvR1', 'recHSTRoRKGeurJiq']",,,5.0,2022-12-07T16:45:17.000Z,rec37jxHOyxBUdKZ9
7,Bellingham Public Library,,Vetted,"['recdfjzxubi3Ml5By', 'recj5v6sSY8R8HWmK']",Whatcom County,['recWxRFhQZvHde8jw'],http://www.bellinghampubliclibrary.org/,"Serves the residents of Bellingham and Whatcom County with branches in Central Bellingham, Fairhaven, and Barkley.","['recDjal9Q8Npc6PcL', 'recdJg0Em5PZ7fa1s', 'rec1N5u4XGsSR6815', 'recUnMCECLm4OR93U', 'recTa2dWXW5SDEgho', 'recoRHWLi7Jj3fuKc', 'recNoqlRAzx1qqiOh', 'rec3FNYjdjDefj4fx', 'recuKTetz2iSYYfB1', 'recvBZ4r1AwFRP8Ex', 'recxz6dxxzyzbTdt1', 'recDBS8KvNKoFll0K']",,"['recmvhcVPZ8z1OD7t', 'rec40yLmm5bqV9nXC', 'recw6TuR6G2i1vcvl']",5.0,2022-06-28T16:49:13.000Z,rec3BnhDmf5l0gTOq
8,Bellingham Central Lions Club,,Vetted,"['recQXZWkMUlT3GB9R', 'rec52XI8Tr2Sd7qGh']",Whatcom County,['recUalzSypgBHaALd'],https://www.bellinghamcentrallions.org,"Volunteer organization providing financial assistance to the local community, particularly related to sight and hearing.","['rechZKVpiAfviJ7oB', 'recN241DPuVokERX2', 'recNeAHD6iMuiM3RT']",info@bellinghamcentrallions.org,,5.0,2022-09-19T23:22:15.000Z,rec3OYZxZ2q2GrfFe
9,LGBT National Help Center,,Vetted,"['recpPSVv15TOzo5ME', 'reconBdJ4ge99hZ8W']",National,['recviOwjhc3ctPq2a'],https://www.lgbthotline.org/,"Offers support to those seeking affirmation and acceptance, questions or concerns on sexuality and gender identity, resources and information.","['recxaV9wClgT1Y6PX', 'recxudRBQWq0NxKCg', 'recuIABDdtEcTfi4U', 'recLitj5JmeROGCHc', 'recwdrb4b2v0fVraG', 'recUah9MStfQhW7z6', 'recKlODjxTNknR72G']",help@LGBThotline.org,,5.0,2022-10-04T23:01:43.000Z,rec3Z4JmNoxJLla35
